project_id,project_type,material_type,region,wind_exposure,technical_complexity,design_repetition,installation_model,actual_margin_percent,outcome,notes
UK-WIN-001,Windows + Doors,Aluminium,Urban,Low,Low,Repeated,Company installs,20.2,Acceptable with issues,"Residential Block: Fixed window, Window, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-002,Facade + Windows,Aluminium,Urban,Medium,Medium,Repeated,Mixed installation,18.4,Completed profitably,"Office Building: Facade, Fixed window, Double door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-003,Windows + Sliding Doors,Aluminium,Coastal,High,High,Repeated,Company installs,6.4,Margin pressure,"Hotel Renovation: Fixed window, Double Sliding door, Single door. Coating: Qualicoat Seaside."
UK-FAC-004,Facade + Sliding Doors,Aluminium,Urban,Low,Medium,New,Company installs,16.6,Acceptable with issues,"Shopping Centre: Facade, Triple Sliding door, Folding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-005,Windows + Doors,Aluminium,Inland,Low,Low,Repeated,Company installs,21.2,Completed profitably,"School Building: Fixed window, Window, Double door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-006,Windows + Doors,Aluminium,Urban,Medium,Medium,Repeated,Company installs,18.5,Completed profitably,"Hospital Wing: Fixed window, Double door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-007,Windows + Facade,Aluminium,Coastal,High,High,Repeated,Mixed installation,9.8,High risk realized,"Coastal Apartments: Fixed window, Facade, Single door. Coating: Qualicoat Seaside."
UK-FAC-008,Facade + Folding Doors,Aluminium,Urban,Low,Low,Partially similar,Company installs,17.6,Completed profitably,"Restaurant: Facade, Folding door, Fixed window. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-009,Windows + Sliding Doors,Aluminium,Industrial,Medium,Low,New,Company installs,19.6,Completed profitably,"Warehouse Office: Window, Double Sliding door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-010,Windows + Doors,Aluminium,Mountain,High,High,Partially similar,Company installs,7.2,High risk realized,"Mountain Lodge: Fixed window, Triple Sliding door, Double door. Coating: Qualicoat Class 2."
UK-FAC-011,Facade + Doors,Aluminium,Urban,Low,Medium,Partially similar,Company installs,15.7,Acceptable with issues,"Retail Unit: Facade, Folding door, Double Sliding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-012,Facade + Windows,Aluminium,Urban,Low,Medium,New,Client installs,20.1,Completed profitably,"University Library: Facade, Fixed window, Double door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-013,Facade + Sliding Doors,Aluminium,Inland,Medium,Medium,Repeated,Client installs,15.3,Acceptable with issues,"Sports Centre: Facade, Triple Sliding door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-014,Facade + Windows,Aluminium,Coastal,High,High,Repeated,Company installs,8.8,Margin pressure,"Coastal Office: Facade, Fixed window, Double Sliding door. Coating: Qualicoat Seaside."
UK-FAC-015,Facade + Folding Doors,Aluminium,Urban,Low,Low,New,Mixed installation,19.2,Completed profitably,"Car Showroom: Facade, Folding door, Fixed window, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-016,Windows + Doors,Aluminium,Urban,Low,Medium,Repeated,Client installs,16.3,Completed profitably,"Government Office: Fixed window, Window, Double door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-017,Windows + Sliding Doors,Aluminium,Industrial,High,High,Repeated,Company installs,12.2,Margin pressure,"Industrial Plant: Window, Triple Sliding door, Double Sliding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-018,Windows + Folding Doors,Aluminium,Coastal,Medium,Medium,Repeated,Company installs,16.0,Acceptable with issues,"Boutique Hotel: Fixed window, Folding door, Double Sliding door. Coating: Qualicoat Seaside."
UK-WIN-019,Windows + Doors,Aluminium,Inland,Low,Low,Partially similar,Company installs,23.5,Completed profitably,"Community Centre: Fixed window, Double door, Folding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-020,Facade + Sliding Doors,Aluminium,Coastal,High,High,New,Company installs,7.6,High risk realized,"Ferry Terminal: Facade, Triple Sliding door, Double Sliding door, Single door. Coating: Qualicoat Seaside."
UK-WIN-021,Windows + Doors,Aluminium,Urban,Low,Low,Partially similar,Mixed installation,21.6,Completed profitably,"Apartment Block: Fixed window, Window, Single door, Double door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-022,Facade + Windows,Aluminium,Urban,Low,Medium,Repeated,Company installs,19.4,Completed profitably,"Museum: Facade, Fixed window, Folding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-023,Windows + Sliding Doors,Aluminium,Industrial,Medium,Low,Repeated,Company installs,17.2,Acceptable with issues,"Factory Office: Window, Double Sliding door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-024,Windows + Sliding Doors,Aluminium,Mountain,High,High,New,Company installs,8.5,High risk realized,"Mountain Resort: Fixed window, Triple Sliding door, Folding door. Coating: Qualicoat Class 2."
